75397,nikolaj,1.0
75397,costerwaldau,1.0
75397,worked,1.0
75397,fox,1.0
75397,broadcasting,1.0
75397,company,1.0
150448,roman,1.0
150448,atwood,1.0
150448,content,1.0
150448,creator,1.0
214861,history,1.0
214861,art,1.0
214861,includes,1.0
214861,architecture,1.0
214861,dance,1.0
214861,sculpture,1.0
214861,music,1.0
214861,painting,1.0
214861,poetry,1.0
214861,literature,1.0
214861,theatre,1.0
214861,narrative,1.0
214861,film,1.0
214861,photography,1.0
214861,graphic,1.0
214861,arts,1.0
156709,adrienne,1.0
156709,bailon,1.0
156709,accountant,1.0
83235,system,1.0
83235,briefly,1.0
83235,disbanded,1.0
83235,limbo,1.0
129629,homeland,1.0
129629,american,1.0
129629,television,1.3010299956639813
129629,spy,1.0
129629,thriller,1.0
129629,based,1.0
129629,israeli,1.0
129629,series,1.0
129629,prisoners,1.0
129629,war,1.0
149579,beautiful,1.0
149579,reached,1.0
149579,number,1.0
149579,two,1.0
149579,billboard,1.0
149579,hot,1.0
149579,100,1.0
149579,2003,1.0
229289,neal,1.0
229289,schon,1.0
229289,named,1.0
229289,1954,1.0
33078,boston,1.0
33078,celtics,1.0
33078,play,1.0
33078,home,1.0
33078,games,1.0
33078,td,1.0
33078,garden,1.0
6744,ten,1.0
6744,commandments,1.0
6744,epic,1.0
6744,film,1.0
